glibau,1347899
nenri,1348498
sahai,1349097
by,1349694
camxes,1350289
kehu,1350883
su,1351476
bacru,1352068
laldo,1352658
zmiku,1353248
xy,1353834
zu,1354419
ty,1355003
nintadni,1355586
cikre,1356166
traji,1356745
ckule,1357323
siha,1357901
cy,1358475
cuxna,1359049
kuho,1359622
ii,1360189
sampla,1360754
skicu,1361314
voi,1361873
lerfu,1362431
javni,1362987
fau,1363542
jahe,1364095
zanru,1364648
vo,1365193
cahe,1365730
benji,1366266
tai,1366797
nohu,1367328
vlaste,1367857
satci,1368382
zabna,1368907
jihi,1369430
selbri,1369953
soi,1370475
ibu,1370997
beho,1371518
xi,1372039
pante,1372559
tahi,1373076
nibli,1373589
meho,1374100
latroha,1374610
kibro,1375120
catlu,1375629
zarci,1376133
puzi,1376636
puho,1377136
suha,1377635
ikuhi,1378130
kucli,1378624
mahoi,1379115
tanru,1379603
dei,1380089
masno,1380575
pinxe,1381060
lohe,1381545
penmi,1382025
krici,1382504
zehi,1382982
zohei,1383460
jbovlaste,1383936
gunma,1384410
tutci,1384883
juhi,1385356
fu,1385828
basti,1386299
mriste,1386770
tau,1387238
jmive,1387703
liho,1388166
lisri,1388628
vrici,1389088
sure,1389546
xorxes,1390003
tcika,1390460
nanca,1390916
selsku,1391370
jikca,1391822
suhu,1392272
uu,1392716
sisku,1393160
fliba,1393602
urli,1394044
io,1394486
gehe,1394927
mihu,1395367
sanga,1395807
cabna,1396246
xo,1396684
mehau,1397122
pixra,1397558
fanza,1397994
simxu,1398430
namcu,1398864
py,1399297
rinsa,1399729
xajmi,1400158
ciste,1400581
pau,1401004
fahu,1401427
duhe,1401848
fuhivla,1402266
enai,1402682
tolmohi,1403097
uo,1403511
morsi,1403922
xanri,1404332
ki,1404742
ce,1405150
terpa,1405554
papri,1405957
cenba,1406360
sinxa,1406762
x,1407163
sruma,1407563
kukte,1407962
ruha,1408361
gletu,1408758
voha,1409154
galfi,1409549
danfu,1409943
zifre,1410336
vitke,1410729
xruti,1411122
mrilu,1411514
yyy,1411904
jibri,1412293
sehi,1412680
voksa,1413066
cirko,1413452
